0:0:0:0:0:0:0:1 - - [19/May/2018:11:10:46 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:10:46 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:11:21 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:11:21 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:12:22 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:12:23 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:13:20 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:13:20 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:15:49 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:15:50 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:16:45 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:16:45 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:16:58 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:16:58 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:18:10 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:18:10 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:40:54 +0530] "OPTIONS /todo/getLabels HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/May/2018:11:40:54 +0530] "OPTIONS /todo/getNotes HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [19/May/2018:11:40:54 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:40:54 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:41:51 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:41:51 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:47:50 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [19/May/2018:11:47:50 +0530] "GET /todo/getNotes HTTP/1.1" 200 221167
0:0:0:0:0:0:0:1 - - [19/May/2018:11:48:06 +0530] "GET /todo/getLabels HTTP/1.1" 200 163
